ID;OBSERVACIONES;SEMANA;FECHA;PUNTO DE OBSERVACION;NOMBRE COMUN;NOMBRE CIENTIFICO;DENTRO DEL RADIO;FUERA DEL RADIO;NUMERO DE AVISTAMIENTO
85;21A07;2;10/5/2023;1A07;Oilbird;Steatornis caripensis;1;1;2
86;21A08;2;10/5/2023;1A08;Gray-breasted Martin;Progne chalybea;2;0;2
87;21A08;2;10/5/2023;1A08;Common Nighthawk;Chordeiles minor;1;0;1
88;21A08;2;10/5/2023;1A08;Common Pauraque;Nyctidromus albicollis;2;1;3
89;21A08;2;10/5/2023;1A08;Little Cuckoo;Coccycua minuta;2;1;3
90;21A08;2;10/5/2023;1A08;Squirrel Cuckoo;Piaya cayana;2;1;3
91;21A08;2;10/5/2023;1A08;Greater Ani;Crotophaga major;1;1;2
92;21A09;2;10/5/2023;1A09;White-necked Jacobin;Florisuga mellivora;1;0;1
93;21A09;2;10/5/2023;1A09;Blue Ground Dove;Claravis pretiosa;1;0;1
94;21A10;2;10/5/2023;1A10;Scrub Nightjar;Nyctidromus anthonyi;2;2;4
95;21A10;2;10/5/2023;1A10;Squirrel Cuckoo;Piaya cayana;2;0;2
96;21A10;2;10/5/2023;1A10;Groove-billed Ani;Crotophaga sulcirostris;2;0;2
97;21A11;2;10/5/2023;1A11;Rufous-headed Chachalaca;Ortalis erythroptera;1;2;3
98;21A12;2;10/5/2023;1A12;House Sparrow;Passer domesticus;1;1;2
99;21A12;2;10/5/2023;1A12;Purple-bibbed Whitetip;Urosticte benjamini;1;0;1
100;21A12;2;10/5/2023;1A12;Scrub Nightjar;Nyctidromus anthonyi;2;0;2
101;21A12;2;10/5/2023;1A12;Crowned Woodnymph;Thalurania colombica;1;2;3
102;21A12;2;10/5/2023;1A12;House Sparrow;Passer domesticus;2;0;2
103;21A12;2;10/5/2023;1A12;Dwarf Cuckoo;Coccycua pumila;1;1;2
104;21A12;2;10/5/2023;1A12;Black Vulture;Coragyps atratus;2;1;3
105;21A12;2;10/5/2023;1A12;Crowned Woodnymph;Thalurania colombica;1;1;2
106;21A12;2;10/5/2023;1A12;Oilbird;Steatornis caripensis;1;1;2
107;21A12;2;10/5/2023;1A12;Common Nighthawk;Chordeiles minor;1;1;2
108;22A01;2;10/5/2023;2A01;Baudo Guan;Penelope ortoni;2;0;2
109;22A01;2;10/5/2023;2A01;Common Nighthawk;Chordeiles minor;2;0;2
110;22A01;2;10/5/2023;2A01;Lesser Nighthawk;Chordeiles acutipennis;1;1;2
111;22A01;2;10/5/2023;2A01;Chimney Swift;Chaetura pelagica;1;0;1
112;22A01;2;10/5/2023;2A01;Rufous-headed Chachalaca;Ortalis erythroptera;3;0;3
113;22A01;2;10/5/2023;2A01;Squirrel Cuckoo;Piaya cayana;1;1;2
114;22A01;2;10/5/2023;2A01;Scrub Nightjar;Nyctidromus anthonyi;1;0;1
115;22A01;2;10/5/2023;2A01;Chimney Swift;Chaetura pelagica;2;1;3
116;22A01;2;10/5/2023;2A01;White-collared Swift;Streptoprocne zonaris;2;1;3
117;22A01;2;10/5/2023;2A01;Pearly-breasted Cuckoo;Coccyzus euleri;1;0;1
118;22A01;2;10/5/2023;2A01;Crowned Woodnymph;Thalurania colombica;2;0;2
119;22A02;2;10/5/2023;2A02;Common Pauraque;Nyctidromus albicollis;1;1;2
120;22A02;2;10/5/2023;2A02;Blue Ground Dove;Claravis pretiosa;0;1;1
121;22A02;2;10/5/2023;2A02;Oilbird;Steatornis caripensis;1;1;2
122;22A02;2;10/5/2023;2A02;Banded Ground-Cuckoo;Neomorphus radiolosus;2;0;2
123;22A02;2;10/5/2023;2A02;Dwarf Cuckoo;Coccycua pumila;2;0;2
124;22A02;2;10/5/2023;2A02;Pale-vented Pigeon;Patagioenas cayennensis;2;1;3
125;22A02;2;10/5/2023;2A02;Blue Ground Dove;Claravis pretiosa;2;1;3
126;22A02;2;10/5/2023;2A02;Yellow-rumped Cacique;Cacicus cela;1;1;2
127;22A02;2;10/5/2023;2A02;Smooth-billed Ani;Crotophaga ani;2;1;3
128;22A02;2;10/5/2023;2A02;Crowned Woodnymph;Thalurania colombica;2;0;2
129;22A03;2;10/5/2023;2A03;Lesser Nighthawk;Chordeiles acutipennis;1;1;2
130;22A03;2;10/5/2023;2A03;White-chinned Swift;Cypseloides cryptus;1;1;2
131;31A01;3;17/5/2023;1A01;Yellow-rumped Cacique;Cacicus cela;2;0;2
132;31A01;3;17/5/2023;1A01;Banded Ground-Cuckoo;Neomorphus radiolosus;2;0;2
133;31A01;3;17/5/2023;1A01;House Sparrow;Passer domesticus;2;0;2
134;31A01;3;17/5/2023;1A01;Pale-vented Pigeon;Patagioenas cayennensis;2;2;4
135;31A01;3;17/5/2023;1A01;Pale-vented Pigeon;Patagioenas cayennensis;1;1;2
136;31A02;3;17/5/2023;1A02;Common Pauraque;Nyctidromus albicollis;1;0;1
137;31A02;3;17/5/2023;1A02;House Sparrow;Passer domesticus;1;0;1
138;31A02;3;17/5/2023;1A02;Groove-billed Ani;Crotophaga sulcirostris;2;0;2
139;31A03;3;17/5/2023;1A03;White-necked Jacobin;Florisuga mellivora;2;1;3
140;31A04;3;17/5/2023;1A04;Purple-bibbed Whitetip;Urosticte benjamini;2;0;2
141;31A05;3;17/5/2023;1A05;Crowned Woodnymph;Thalurania colombica;1;0;1
142;31A05;3;17/5/2023;1A05;House Sparrow;Passer domesticus;2;1;3
143;31A05;3;17/5/2023;1A05;White-necked Jacobin;Florisuga mellivora;2;0;2
144;31A05;3;17/5/2023;1A05;Chimney Swift;Chaetura pelagica;1;2;3
145;31A05;3;17/5/2023;1A05;White-collared Swift;Streptoprocne zonaris;2;1;3
146;31A05;3;17/5/2023;1A05;Hook-billed Kite;Chondrohierax uncinatus;2;1;3
147;31A06;3;17/5/2023;1A06;Chimney Swift;Chaetura pelagica;1;0;1
148;31A08;3;17/5/2023;1A08;Dwarf Cuckoo;Coccycua pumila;2;0;2
149;31A09;3;17/5/2023;1A09;House Sparrow;Passer domesticus;1;0;1
150;31A09;3;17/5/2023;1A09;Hook-billed Kite;Chondrohierax uncinatus;2;1;3
151;31A09;3;17/5/2023;1A09;Black Vulture;Coragyps atratus;1;1;2
152;31A10;3;17/5/2023;1A10;Common Pauraque;Nyctidromus albicollis;1;0;1
153;31A10;3;17/5/2023;1A10;Lesser Nighthawk;Chordeiles acutipennis;1;1;2
154;31A10;3;17/5/2023;1A10;Yellow-rumped Cacique;Cacicus cela;1;1;2
155;31A10;3;17/5/2023;1A10;Banded Ground-Cuckoo;Neomorphus radiolosus;2;1;3
156;31A10;3;17/5/2023;1A10;Rufous-headed Chachalaca;Ortalis erythroptera;2;0;2
157;31A10;3;17/5/2023;1A10;Crowned Woodnymph;Thalurania colombica;2;0;2
158;31A10;3;17/5/2023;1A10;Rufous-headed Chachalaca;Ortalis erythroptera;1;0;1
159;31A10;3;17/5/2023;1A10;White-necked Jacobin;Florisuga mellivora;2;1;3
160;31A10;3;17/5/2023;1A10;Dwarf Cuckoo;Coccycua pumila;2;0;2
161;31A10;3;17/5/2023;1A10;Yellow-rumped Cacique;Cacicus cela;2;1;3
162;31A11;3;17/5/2023;1A11;Pearly-breasted Cuckoo;Coccyzus euleri;1;1;2
163;31A12;3;17/5/2023;1A12;White-collared Swift;Streptoprocne zonaris;2;0;2
164;32A01;3;17/5/2023;2A01;Dwarf Cuckoo;Coccycua pumila;2;1;3
165;32A01;3;17/5/2023;2A01;Little Cuckoo;Coccycua minuta;2;0;2
166;32A01;3;17/5/2023;2A01;Yellow-rumped Cacique;Cacicus cela;1;1;2
167;32A01;3;17/5/2023;2A01;White-chinned Swift;Cypseloides cryptus;1;1;2
168;32A01;3;17/5/2023;2A01;Striped Cuckoo;Tapera naevia;1;0;1
169;32A02;3;17/5/2023;2A02;Little Cuckoo;Coccycua minuta;2;1;3
170;32A03;3;17/5/2023;2A03;Baudo Guan;Penelope ortoni;1;1;2
171;32A03;3;17/5/2023;2A03;Pearly-breasted Cuckoo;Coccyzus euleri;1;0;1
172;32A03;3;17/5/2023;2A03;Black Vulture;Coragyps atratus;2;1;3
173;32A03;3;17/5/2023;2A03;House Sparrow;Passer domesticus;2;1;3
174;32A03;3;17/5/2023;2A03;Crowned Woodnymph;Thalurania colombica;1;1;2
175;32A03;3;17/5/2023;2A03;White-collared Swift;Streptoprocne zonaris;2;0;2
176;41A01;4;24/5/2023;1A01;Crowned Woodnymph;Thalurania colombica;2;0;2
177;41A01;4;24/5/2023;1A01;Common Nighthawk;Chordeiles minor;2;1;3
178;41A01;4;24/5/2023;1A01;Smooth-billed Ani;Crotophaga ani;1;1;2
179;41A01;4;24/5/2023;1A01;Black Vulture;Coragyps atratus;1;1;2
180;41A01;4;24/5/2023;1A01;Pale-vented Pigeon;Patagioenas cayennensis;2;0;2
181;41A01;4;24/5/2023;1A01;Greater Ani;Crotophaga major;1;1;2
182;41A01;4;24/5/2023;1A01;Hook-billed Kite;Chondrohierax uncinatus;2;1;3
183;41A01;4;24/5/2023;1A01;Groove-billed Ani;Crotophaga sulcirostris;1;1;2
184;41A02;4;24/5/2023;1A02;Common Pauraque;Nyctidromus albicollis;1;0;1
185;41A03;4;24/5/2023;1A03;Smooth-billed Ani;Crotophaga ani;2;1;3
186;41A05;4;24/5/2023;1A05;Rufous-fronted Wood-Quail;Odontophorus erythrops;1;1;2
187;41A05;4;24/5/2023;1A05;Striped Cuckoo;Tapera naevia;2;1;3
188;41A06;4;24/5/2023;1A06;Squirrel Cuckoo;Piaya cayana;2;1;3
189;41A06;4;24/5/2023;1A06;Purple-bibbed Whitetip;Urosticte benjamini;2;1;3
190;41A06;4;24/5/2023;1A06;White-necked Jacobin;Florisuga mellivora;2;0;2
191;41A06;4;24/5/2023;1A06;Squirrel Cuckoo;Piaya cayana;1;0;1
192;41A06;4;24/5/2023;1A06;Rufous-fronted Wood-Quail;Odontophorus erythrops;1;1;2
193;41A06;4;24/5/2023;1A06;Banded Ground-Cuckoo;Neomorphus radiolosus;2;0;2
194;41A06;4;24/5/2023;1A06;White-necked Jacobin;Florisuga mellivora;1;0;1
195;41A06;4;24/5/2023;1A06;Pearly-breasted Cuckoo;Coccyzus euleri;2;1;3
196;41A06;4;24/5/2023;1A06;Common Nighthawk;Chordeiles minor;1;0;1
197;41A07;4;24/5/2023;1A07;White-chinned Swift;Cypseloides cryptus;2;1;3
198;41A08;4;24/5/2023;1A08;White-collared Swift;Streptoprocne zonaris;2;0;2
199;41A09;4;24/5/2023;1A09;Yellow-rumped Cacique;Cacicus cela;2;1;3
200;41A10;4;24/5/2023;1A10;White-necked Jacobin;Florisuga mellivora;1;1;2
201;41A10;4;24/5/2023;1A10;Greater Ani;Crotophaga major;1;1;2
202;41A10;4;24/5/2023;1A10;Greater Ani;Crotophaga major;2;1;3
203;41A10;4;24/5/2023;1A10;Purple-bibbed Whitetip;Urosticte benjamini;2;0;2
204;41A10;4;24/5/2023;1A10;Smooth-billed Ani;Crotophaga ani;1;0;1
205;41A10;4;24/5/2023;1A10;Hook-billed Kite;Chondrohierax uncinatus;2;1;3
206;41A10;4;24/5/2023;1A10;White-necked Jacobin;Florisuga mellivora;1;1;2
207;41A11;4;24/5/2023;1A11;White-necked Jacobin;Florisuga mellivora;1;0;1
208;41A11;4;24/5/2023;1A11;Purple-bibbed Whitetip;Urosticte benjamini;2;1;3
209;41A11;4;24/5/2023;1A11;Smooth-billed Ani;Crotophaga ani;1;0;1
210;41A11;4;24/5/2023;1A11;Chimney Swift;Chaetura pelagica;1;1;2
211;41A11;4;24/5/2023;1A11;Oilbird;Steatornis caripensis;2;0;2
212;41A12;4;24/5/2023;1A12;Groove-billed Ani;Crotophaga sulcirostris;1;0;1
213;42A01;4;24/5/2023;2A01;Rufous-fronted Wood-Quail;Odontophorus erythrops;2;0;2
214;42A01;4;24/5/2023;2A01;Common Pauraque;Nyctidromus albicollis;2;0;2
215;42A01;4;24/5/2023;2A01;Dwarf Cuckoo;Coccycua pumila;1;1;2
216;42A01;4;24/5/2023;2A01;Rufous-headed Chachalaca;Ortalis erythroptera;1;0;1
217;42A01;4;24/5/2023;2A01;House Sparrow;Passer domesticus;2;1;3
218;42A01;4;24/5/2023;2A01;Common Pauraque;Nyctidromus albicollis;2;1;3
219;42A01;4;24/5/2023;2A01;House Sparrow;Passer domesticus;2;1;3
220;42A01;4;24/5/2023;2A01;White-chinned Swift;Cypseloides cryptus;2;2;4
221;42A01;4;24/5/2023;2A01;Crowned Woodnymph;Thalurania colombica;1;0;1
222;42A02;4;24/5/2023;2A02;Crowned Woodnymph;Thalurania colombica;1;0;1
223;42A02;4;24/5/2023;2A02;Dwarf Cuckoo;Coccycua pumila;1;0;1
224;42A02;4;24/5/2023;2A02;Crowned Woodnymph;Thalurania colombica;1;0;1
225;42A02;4;24/5/2023;2A02;Striped Cuckoo;Tapera naevia;2;1;3
226;42A02;4;24/5/2023;2A02;House Sparrow;Passer domesticus;2;1;3
227;42A02;4;24/5/2023;2A02;Common Pauraque;Nyctidromus albicollis;2;1;3
228;42A02;4;24/5/2023;2A02;Smooth-billed Ani;Crotophaga ani;1;0;1
229;42A02;4;24/5/2023;2A02;Crowned Woodnymph;Thalurania colombica;2;0;2
230;42A03;4;24/5/2023;2A03;Black Vulture;Coragyps atratus;1;1;2
231;42A03;4;24/5/2023;2A03;Dwarf Cuckoo;Coccycua pumila;3;0;3
232;42A03;4;24/5/2023;2A03;Lesser Nighthawk;Chordeiles acutipennis;2;0;2
233;42A03;4;24/5/2023;2A03;Blue Ground Dove;Claravis pretiosa;2;0;2
234;42A03;4;24/5/2023;2A03;Purple-bibbed Whitetip;Urosticte benjamini;2;0;2
235;42A03;4;24/5/2023;2A03;White-collared Swift;Streptoprocne zonaris;1;0;1
236;42A03;4;24/5/2023;2A03;Chimney Swift;Chaetura pelagica;1;0;1
237;42A03;4;24/5/2023;2A03;Purple-bibbed Whitetip;Urosticte benjamini;2;1;3
238;42A03;4;24/5/2023;2A03;Rufous-headed Chachalaca;Ortalis erythroptera;1;0;1
239;51A01;5;31/5/2023;1A01;White-chinned Swift;Cypseloides cryptus;1;1;2
240;51A01;5;31/5/2023;1A01;Yellow-rumped Cacique;Cacicus cela;2;1;3
241;51A01;5;31/5/2023;1A01;Rufous-headed Chachalaca;Ortalis erythroptera;2;0;2
242;51A01;5;31/5/2023;1A01;Squirrel Cuckoo;Piaya cayana;2;1;3
243;51A01;5;31/5/2023;1A01;House Sparrow;Passer domesticus;1;1;2
244;51A01;5;31/5/2023;1A01;Greater Ani;Crotophaga major;2;1;3
245;51A01;5;31/5/2023;1A01;Squirrel Cuckoo;Piaya cayana;2;1;3
246;51A02;5;31/5/2023;1A02;Groove-billed Ani;Crotophaga sulcirostris;2;0;2
247;51A03;5;31/5/2023;1A03;Gray-breasted Martin;Progne chalybea;2;0;2
248;51A04;5;31/5/2023;1A04;White-necked Jacobin;Florisuga mellivora;1;0;1
249;51A04;5;31/5/2023;1A04;Common Pauraque;Nyctidromus albicollis;2;2;4
250;51A05;5;31/5/2023;1A05;Pearly-breasted Cuckoo;Coccyzus euleri;2;0;2
251;51A05;5;31/5/2023;1A05;Dwarf Cuckoo;Coccycua pumila;1;1;2
252;51A05;5;31/5/2023;1A05;Little Cuckoo;Coccycua minuta;2;0;2
253;51A05;5;31/5/2023;1A05;Baudo Guan;Penelope ortoni;2;0;2
254;51A05;5;31/5/2023;1A05;Common Pauraque;Nyctidromus albicollis;2;1;3
255;51A05;5;31/5/2023;1A05;Banded Ground-Cuckoo;Neomorphus radiolosus;1;0;1
256;51A05;5;31/5/2023;1A05;Crowned Woodnymph;Thalurania colombica;1;1;2
257;51A05;5;31/5/2023;1A05;Squirrel Cuckoo;Piaya cayana;2;0;2
258;51A05;5;31/5/2023;1A05;Hook-billed Kite;Chondrohierax uncinatus;1;1;2
259;51A05;5;31/5/2023;1A05;House Sparrow;Passer domesticus;2;1;3
260;51A05;5;31/5/2023;1A05;Black Vulture;Coragyps atratus;1;1;2
261;51A06;5;31/5/2023;1A06;Banded Ground-Cuckoo;Neomorphus radiolosus;1;1;2
262;51A06;5;31/5/2023;1A06;House Sparrow;Passer domesticus;1;0;1
263;51A06;5;31/5/2023;1A06;Black Vulture;Coragyps atratus;1;1;2
264;51A06;5;31/5/2023;1A06;Dwarf Cuckoo;Coccycua pumila;1;0;1
265;51A06;5;31/5/2023;1A06;House Sparrow;Passer domesticus;2;1;3
266;51A06;5;31/5/2023;1A06;Scrub Nightjar;Nyctidromus anthonyi;1;0;1
267;51A07;5;31/5/2023;1A07;Blue Ground Dove;Claravis pretiosa;2;0;2
268;51A08;5;31/5/2023;1A08;Blue Ground Dove;Claravis pretiosa;1;1;2
269;51A08;5;31/5/2023;1A08;Purple-bibbed Whitetip;Urosticte benjamini;1;1;2
270;51A09;5;31/5/2023;1A09;Common Nighthawk;Chordeiles minor;1;0;1
271;51A10;5;31/5/2023;1A10;Squirrel Cuckoo;Piaya cayana;1;1;2
272;51A11;5;31/5/2023;1A11;Little Cuckoo;Coccycua minuta;1;0;1
273;51A12;5;31/5/2023;1A12;Rufous-headed Chachalaca;Ortalis erythroptera;2;1;3
274;51A13;5;31/5/2023;1A13;Yellow-rumped Cacique;Cacicus cela;2;0;2
275;51A14;5;31/5/2023;1A14;Gray-breasted Martin;Progne chalybea;2;1;3
276;51A15;5;31/5/2023;1A15;Baudo Guan;Penelope ortoni;2;0;2
277;51A16;5;31/5/2023;1A16;Pale-vented Pigeon;Patagioenas cayennensis;2;1;3
278;51A16;5;31/5/2023;1A16;Crowned Woodnymph;Thalurania colombica;2;0;2
279;51A16;5;31/5/2023;1A16;Hook-billed Kite;Chondrohierax uncinatus;2;0;2
280;51A16;5;31/5/2023;1A16;Common Pauraque;Nyctidromus albicollis;1;0;1
281;51A11;5;31/5/2023;1A11;Greater Ani;Crotophaga major;2;1;3
282;51A11;5;31/5/2023;1A11;Purple-bibbed Whitetip;Urosticte benjamini;2;0;2
283;51A12;5;31/5/2023;1A12;Baudo Guan;Penelope ortoni;2;0;2
284;51A12;5;31/5/2023;1A12;Pearly-breasted Cuckoo;Coccyzus euleri;2;1;3
285;51A12;5;31/5/2023;1A12;Yellow-rumped Cacique;Cacicus cela;1;1;2
286;51A12;5;31/5/2023;1A12;Pearly-breasted Cuckoo;Coccyzus euleri;2;0;2
287;51A12;5;31/5/2023;1A12;Little Cuckoo;Coccycua minuta;2;2;4
288;51A12;5;31/5/2023;1A12;White-chinned Swift;Cypseloides cryptus;2;0;2
289;52A01;5;31/5/2023;2A01;Squirrel Cuckoo;Piaya cayana;2;0;2
290;52A01;5;31/5/2023;2A01;Little Cuckoo;Coccycua minuta;2;0;2
291;52A01;5;31/5/2023;2A01;White-chinned Swift;Cypseloides cryptus;2;0;2
292;52A01;5;31/5/2023;2A01;Dwarf Cuckoo;Coccycua pumila;1;1;2
293;52A01;5;31/5/2023;2A01;Squirrel Cuckoo;Piaya cayana;2;0;2
294;52A01;5;31/5/2023;2A01;Banded Ground-Cuckoo;Neomorphus radiolosus;2;0;2
295;52A01;5;31/5/2023;2A01;Purple-bibbed Whitetip;Urosticte benjamini;2;0;2
296;52A01;5;31/5/2023;2A01;Black Vulture;Coragyps atratus;2;0;2
297;52A02;5;31/5/2023;2A02;Pearly-breasted Cuckoo;Coccyzus euleri;1;1;2
298;52A02;5;31/5/2023;2A02;White-necked Jacobin;Florisuga mellivora;2;1;3
299;52A02;5;31/5/2023;2A02;Gray-breasted Martin;Progne chalybea;2;1;3
300;52A03;5;31/5/2023;2A03;Squirrel Cuckoo;Piaya cayana;1;1;2
301;52A03;5;31/5/2023;2A03;Dwarf Cuckoo;Coccycua pumila;2;1;3
302;52A03;5;31/5/2023;2A03;Pearly-breasted Cuckoo;Coccyzus euleri;1;2;3
303;52A03;5;31/5/2023;2A03;Common Nighthawk;Chordeiles minor;2;0;2
304;52A03;5;31/5/2023;2A03;Yellow-rumped Cacique;Cacicus cela;1;0;1
